MonthsActive,AvgOrderValue,NumOrdersLastQuarter,DaysSinceLastOrder,SupportTicketsFiled,Churned
38,50.95,2,23,1,0
27,31.45,8,38,0,0
52,52.48,4,12,0,0
10,47.12,2,55,0,0
40,39.17,4,11,1,0
12,26.28,7,18,1,0
16,38.84,1,8,0,0
31,91.37,4,63,0,0
53,98.33,5,24,0,0
55,35.16,9,60,0,0
25,78.97,4,15,1,0
31,66.95,6,20,0,0
17,78.56,3,50,0,0
44,52.0,2,10,0,0
33,37.93,2,12,0,0
60,54.6,3,3,0,0
49,44.88,4,30,0,0
46,178.92,10,61,0,0
60,41.68,4,40,1,0
10,93.26,6,21,0,0
19,73.36,2,7,0,0
9,68.9,8,22,0,0
32,104.44,6,14,1,0
33,61.43,6,32,0,0
60,38.41,4,4,0,0
2,54.59,5,7,0,0
31,61.54,6,4,0,0
20,75.02,4,17,0,0
2,72.04,8,53,0,0
55,34.55,8,2,1,0
41,61.18,4,20,1,1
31,47.72,4,19,2,0
45,112.58,3,10,0,0
20,82.32,5,9,1,0
51,71.98,10,46,0,0
35,33.68,4,5,1,0
52,66.47,7,11,1,0
49,54.25,2,12,0,1
33,85.5,7,20,0,0
12,38.49,1,4,0,0
46,50.49,4,1,0,0
8,29.01,3,21,0,0
15,52.58,5,23,0,0
28,70.35,5,42,0,0
1,73.88,3,7,0,0
20,58.05,3,18,1,0
9,86.56,5,5,0,0
2,59.01,4,50,1,0
55,33.61,10,3,1,0
5,50.47,1,22,1,0
51,52.48,2,8,0,0
17,44.27,9,38,0,0
6,22.11,5,55,0,0
49,48.14,4,27,2,0
29,28.41,4,41,0,0
8,75.52,5,5,1,0
51,67.52,7,23,0,0
36,54.46,2,26,0,0
3,35.99,2,0,0,0
50,40.1,5,27,2,0
51,59.61,6,0,2,0
25,42.07,3,9,4,0
46,31.11,6,44,0,0
37,23.32,3,30,0,0
27,48.81,4,17,0,0
37,31.69,4,29,0,0
42,68.51,4,11,0,0
29,37.59,3,7,0,0
46,84.67,7,6,0,0
43,147.31,3,16,0,0
39,36.26,4,41,0,0
16,27.16,8,1,1,1
12,31.41,6,9,0,0
8,58.38,1,8,0,0
32,27.92,7,17,2,0
55,51.83,4,8,2,0
5,31.81,4,33,0,0
37,49.47,1,3,1,1
39,48.12,8,41,1,0
14,65.95,6,3,1,0
44,57.65,4,11,1,0
21,41.64,3,6,0,0
21,29.32,10,19,0,0
14,97.19,4,36,0,0
17,43.99,4,20,0,1
4,28.79,6,1,0,0
36,117.94,6,35,0,0
5,96.02,5,2,0,0
50,106.99,4,19,1,0
35,63.47,5,23,0,0
35,73.52,6,70,0,0
12,70.59,6,25,1,0
11,79.89,5,1,0,0
16,35.16,8,37,0,0
23,95.62,7,0,0,0
20,70.46,6,26,0,0
9,51.79,5,51,1,0
44,27.81,8,4,1,0
4,53.42,7,11,0,0
57,82.27,3,27,1,0
7,99.92,5,52,3,0
7,41.47,4,5,1,0
54,33.24,11,48,0,0
22,41.29,4,102,1,1
31,65.57,7,22,0,0
13,61.12,7,5,0,0
19,63.45,6,13,0,0
17,60.92,4,3,0,0
19,52.49,2,61,1,0
7,59.15,6,17,0,0
7,56.91,6,8,0,0
10,67.18,5,18,0,0
30,46.09,5,1,1,0
57,38.15,6,12,0,0
55,34.87,5,40,0,0
30,34.7,4,11,0,0
26,68.45,3,23,1,0
36,69.18,3,45,0,0
30,62.4,6,24,1,0
51,90.84,5,5,1,0
2,94.54,2,40,0,0
28,114.56,4,3,0,0
6,106.84,4,39,0,1
50,46.71,9,13,1,0
4,49.6,4,18,0,0
19,36.85,9,10,0,0
30,32.4,6,33,1,0
54,34.62,8,39,0,0
27,82.34,5,96,0,0
37,55.61,7,34,0,0
1,53.77,7,1,0,0
17,41.81,4,11,2,0
55,75.87,2,57,0,0
15,21.64,5,57,1,1
38,41.64,3,3,0,0
33,59.47,7,13,0,0
21,65.0,6,5,0,0
3,43.4,6,20,0,0
27,47.34,4,5,0,0
34,36.79,3,1,0,0
60,67.13,3,5,0,0
44,60.64,5,41,2,0
29,48.57,8,1,1,0
22,50.91,5,1,0,0
48,62.94,3,44,0,0
57,39.2,4,9,0,0
25,63.09,5,1,0,0
25,84.05,8,20,0,0
32,52.82,4,14,2,0
22,70.37,6,12,0,0
43,50.83,4,1,0,0
36,96.56,3,33,0,1
17,54.89,4,79,1,0
17,93.73,5,16,0,0
52,47.94,2,57,2,0
15,43.74,4,34,0,1
18,82.33,7,15,2,0
52,86.19,4,1,0,0
46,75.67,6,7,0,0
8,93.12,6,6,2,0
47,26.11,7,1,0,0
8,44.13,3,13,0,0
3,45.28,5,16,1,0
40,38.06,7,1,1,0
27,56.29,6,55,0,0
1,50.22,9,65,0,0
53,49.66,7,12,0,0
34,45.97,3,2,0,0
55,58.71,2,4,0,0
7,41.86,6,36,0,1
14,55.34,2,10,2,0
57,79.85,7,6,1,0
36,70.39,4,49,0,0
10,62.57,6,8,2,0
10,116.56,3,4,0,0
29,26.7,4,14,1,0
48,59.51,1,17,0,0
28,30.93,6,44,0,0
7,61.07,6,4,0,0
17,75.14,3,37,1,0
54,58.18,2,72,0,1
47,28.98,3,5,3,0
46,101.03,5,15,1,0
22,29.85,6,44,0,0
29,40.42,4,11,0,0
18,87.67,3,3,0,0
34,60.25,9,7,0,0
15,22.63,5,25,0,0
31,56.39,4,38,0,0
33,61.94,7,27,0,0
12,80.51,5,0,0,0
23,84.79,6,8,0,0
26,70.96,5,13,0,0
51,57.22,7,12,0,0
33,44.17,2,0,0,0
17,70.76,4,1,0,0
7,54.35,5,51,2,1
16,85.66,7,19,1,0
3,77.65,11,42,0,0
42,27.62,10,12,1,0
12,158.36,4,6,0,0
31,56.02,6,1,1,0
54,69.94,8,32,1,0
25,28.42,3,26,1,0
16,55.33,2,52,2,1
17,41.79,8,2,1,0
39,84.9,4,3,0,0
46,45.74,4,14,0,0
52,53.99,8,10,3,0
34,22.33,4,32,0,0
13,47.47,2,16,1,0
26,153.68,3,2,1,0
45,70.26,4,9,2,0
17,47.45,7,1,0,0
36,78.85,7,20,0,0
39,43.27,4,28,0,0
55,58.14,4,0,1,0
25,76.19,7,48,1,0
24,76.48,5,13,1,0
49,180.02,3,54,0,0
4,28.86,8,4,0,0
53,56.26,8,64,0,0
55,75.8,7,84,1,1
13,76.67,5,13,1,0
56,83.14,4,12,0,0
29,39.26,5,17,0,0
16,43.34,6,33,1,0
45,83.28,2,23,0,0
26,94.95,4,4,0,0
7,33.79,2,10,0,0
28,25.88,8,4,0,0
36,69.11,4,6,0,0
4,63.36,3,40,0,0
9,47.61,5,29,0,1
26,89.2,8,14,1,0
21,73.03,5,15,1,0
10,103.21,1,39,1,0
57,50.27,5,22,0,0
25,81.91,7,127,0,1
56,49.59,3,24,1,0
27,134.58,8,15,0,0
6,94.74,4,3,1,0
26,26.65,4,13,0,0
26,44.34,6,31,1,0
37,52.04,6,20,0,0
22,43.05,4,20,1,0
44,52.32,2,5,0,0
33,50.12,9,13,0,0
23,22.41,4,36,1,0
45,52.74,4,16,0,1
47,59.81,3,22,0,0
11,31.92,7,0,1,0
51,53.73,5,35,0,0
57,69.11,4,13,0,0
20,48.21,4,29,0,0
51,71.14,1,9,0,1
11,68.59,7,33,2,0
41,22.99,5,25,2,0
28,40.82,3,1,0,0
15,77.07,6,31,0,0
22,47.34,3,21,0,0
14,96.98,4,29,1,0
17,28.33,3,10,0,0
5,33.77,5,27,0,0
49,96.78,5,4,2,0
13,75.05,6,64,0,0
57,44.78,6,2,0,0
56,43.76,4,0,0,0
28,114.66,5,31,1,0
17,48.67,4,2,1,0
5,28.79,5,17,0,0
29,102.28,4,46,1,0
26,25.69,5,23,0,0
7,40.28,10,23,0,1
20,29.06,3,8,1,0
46,115.05,8,46,1,0
35,49.73,4,7,0,0
54,27.54,6,26,0,0
15,77.71,6,36,0,0
58,77.52,6,1,1,0
42,34.28,3,31,2,0
18,112.97,4,14,0,0
58,25.99,4,24,0,0
16,67.21,3,2,0,0
13,102.94,7,13,2,0
48,118.28,7,8,0,0
26,80.13,5,2,0,0
51,40.0,5,7,0,0
45,64.41,4,17,1,1
13,37.58,4,15,1,0
17,91.31,4,2,2,0
53,76.28,7,43,0,0
43,104.05,7,2,0,0
59,60.29,3,0,0,0
33,48.31,3,7,0,0
45,97.94,7,37,0,0
36,39.16,2,32,0,1
58,71.58,3,41,0,1
21,55.84,4,11,0,0
56,85.68,5,15,0,0
10,58.1,7,16,0,0
32,66.43,2,18,0,0
35,31.91,11,7,0,0
25,41.61,2,49,1,1
30,47.75,9,1,0,0
42,72.91,5,3,0,0
22,49.18,6,13,0,0
10,48.86,4,30,0,0
54,102.87,6,5,0,0
19,68.18,5,23,0,0
48,47.89,5,5,0,0
35,69.8,7,8,1,0
7,39.8,5,53,0,0
14,83.54,7,6,1,0
46,59.16,4,28,0,1
12,76.69,7,22,0,0
44,33.04,4,21,0,0
14,49.67,7,65,1,1
46,28.6,6,1,0,0
35,33.63,7,0,0,0
49,30.75,4,6,1,0
38,99.72,4,23,0,0
5,98.35,8,6,0,0
47,38.57,5,4,0,0
60,71.62,4,75,0,0
25,49.49,7,21,1,0
55,92.57,1,34,0,0
24,118.49,6,14,0,0
14,35.7,4,14,0,0
52,41.21,8,9,0,0
19,29.01,1,28,1,0
13,85.45,3,9,0,0
19,59.59,4,5,0,0
34,34.98,6,6,0,0
40,95.65,2,38,2,1
52,35.92,5,6,0,0
42,37.73,9,4,1,0
46,64.33,9,2,0,0
5,28.1,7,10,0,0
8,40.49,4,5,1,0
14,75.59,4,8,1,0
42,28.42,3,21,0,0
43,65.57,5,3,0,0
43,106.07,6,11,0,0
23,65.05,7,1,1,0
2,62.55,4,15,0,0
26,68.88,11,1,1,0
56,47.83,3,5,1,0
32,59.96,2,21,1,0
41,72.56,8,10,1,0
1,57.4,6,39,0,0
49,79.8,2,5,1,0
26,62.47,7,2,2,0
6,34.92,9,36,2,1
50,42.47,4,12,1,0
53,42.46,9,10,2,0
42,46.06,5,27,1,0
27,54.15,3,41,0,0
33,26.0,7,30,2,0
1,86.56,4,59,1,1
14,64.98,4,4,0,1
24,52.45,7,9,0,0
53,67.44,1,12,0,0
44,48.09,8,36,1,0
16,65.18,11,14,0,0
39,65.97,7,40,0,0
52,52.42,10,19,0,0
40,49.48,3,30,1,1
2,74.41,5,2,1,0
55,77.34,7,0,0,0
26,65.81,4,61,0,0
13,62.57,5,20,0,0
14,95.27,4,24,0,0
12,64.11,5,30,2,0
21,34.02,4,15,0,0
56,44.31,8,23,0,0
14,73.89,1,4,1,0
30,42.99,5,24,3,0
7,95.11,3,5,1,0
19,83.32,5,8,0,0
22,38.9,3,3,2,0
34,31.45,9,25,0,0
53,60.39,4,2,1,0
42,24.96,4,2,0,0
55,50.46,5,5,0,0
39,101.71,3,30,0,0
23,31.65,5,2,0,0
58,28.07,7,8,0,0
40,57.45,5,74,0,0
36,40.25,6,9,0,0
29,43.91,6,2,1,0
60,98.87,6,21,2,0
11,52.29,3,5,0,0
49,63.26,9,42,0,0
15,89.04,5,2,3,0
57,38.01,3,19,0,0
53,44.73,5,1,0,0
12,93.26,10,5,1,0
17,56.34,6,17,0,0
43,91.89,5,34,1,0
38,42.52,6,1,0,0
52,47.61,2,8,0,0
16,87.1,2,29,1,1
20,135.51,7,16,0,0
55,32.41,5,23,1,0
51,112.87,9,56,1,1
49,54.77,8,6,0,0
44,85.81,3,3,0,0
51,50.78,7,7,0,0
25,65.55,6,13,0,0
45,109.76,5,17,0,0
27,133.82,5,1,0,0
43,65.17,6,3,0,0
48,41.96,7,4,0,0
7,54.21,6,54,1,1
21,16.62,6,10,1,0
10,112.76,5,75,0,0
39,70.31,3,0,1,0
5,49.49,7,16,0,0
6,50.56,8,5,2,0
56,38.09,8,17,0,0
60,86.12,2,34,0,0
20,50.94,5,32,1,0
25,67.38,2,65,0,0
48,44.92,5,16,0,0
34,45.67,2,3,1,0
60,66.2,5,94,1,0
15,68.51,5,10,0,0
14,60.54,5,27,0,0
58,43.87,7,50,2,0
35,29.72,5,46,0,0
5,58.42,2,33,1,0
6,46.02,5,48,1,0
39,41.47,9,102,1,1
18,149.94,10,6,0,1
42,51.98,4,42,1,0
24,30.46,2,20,2,0
43,51.22,5,4,1,0
31,45.93,5,28,0,0
31,49.48,5,3,0,1
19,70.64,7,10,0,0
39,29.05,5,24,1,0
32,70.66,9,3,0,0
49,69.53,5,17,1,0
15,39.99,3,3,1,0
20,34.17,7,12,0,0
37,79.62,4,8,0,0
7,52.53,13,19,1,0
59,58.8,4,19,0,0
47,56.82,8,3,1,0
29,102.87,5,11,1,0
37,34.59,9,10,1,0
33,80.89,4,6,0,0
30,54.05,4,7,0,1
32,28.27,4,18,0,0
15,47.72,3,85,1,0
18,82.14,7,4,0,0
9,75.67,6,11,0,0
38,44.02,4,27,0,0
42,59.2,4,3,0,0
13,68.63,4,66,0,1
34,43.64,6,53,1,0
35,69.35,5,1,0,0
6,98.19,10,0,0,0
56,43.14,3,40,0,0
44,46.8,6,7,0,0
18,72.09,5,26,2,0
58,74.92,3,26,0,0
14,72.16,4,2,1,0
2,74.34,3,1,0,0
54,50.08,9,17,1,0
58,63.74,4,2,0,0
2,24.56,8,7,0,0
23,57.96,5,15,0,0
34,96.63,2,8,0,0
18,46.73,4,2,0,0
16,64.38,7,50,0,0
11,43.72,4,27,1,0
60,86.52,7,6,0,0
9,111.84,2,32,0,0
38,49.25,3,60,1,1
46,40.98,5,36,0,0
60,48.52,3,7,0,0
58,67.56,7,2,1,0
9,35.54,5,17,2,0
45,38.25,6,27,0,0
47,32.37,8,67,1,0
24,47.83,6,51,1,0
27,89.13,2,7,1,0
20,79.26,6,33,0,0
8,53.3,5,7,0,0
17,56.93,5,42,1,0
25,67.83,6,15,0,0
41,42.89,4,40,0,1
30,45.11,3,14,1,0
17,21.29,5,21,0,0
23,43.55,3,12,2,1
45,85.02,11,19,0,0
33,41.73,6,12,1,0
60,52.41,4,21,1,0
17,72.04,6,4,0,0
58,61.84,2,40,0,0
12,60.57,6,38,1,0
55,22.84,7,24,0,0
14,134.51,7,0,1,0
45,104.47,4,24,0,0
43,42.3,3,21,0,0
45,39.33,8,20,0,0
23,47.36,3,51,1,0
60,59.98,4,22,0,0
25,110.51,8,32,1,0
28,63.67,4,25,0,0
21,66.21,2,15,0,0
46,68.87,3,0,0,0
6,46.98,5,8,0,0
24,95.75,3,38,0,0
58,81.22,6,7,1,0
43,98.66,4,6,1,0
20,51.07,3,31,1,1
15,51.39,4,17,0,0
45,32.77,7,17,1,1
20,93.02,6,2,0,0
26,71.13,8,29,0,0
29,75.46,5,4,0,0
53,47.12,6,29,1,0
9,47.67,4,25,0,0
28,41.21,5,14,0,0
50,75.6,9,9,0,0
54,47.68,3,6,0,0
43,42.99,6,21,0,0
27,47.06,8,15,1,0
21,79.24,7,19,0,0
16,35.19,4,30,1,0
54,50.08,6,54,0,0
10,40.33,8,7,0,0
14,59.37,6,33,0,0
29,28.07,5,10,0,0
25,54.9,4,5,1,0
33,39.41,5,111,0,1
2,71.74,2,14,2,0
48,59.09,5,16,0,0
9,32.73,5,39,0,0
41,64.71,5,18,2,0
45,31.75,2,2,2,0
26,60.59,4,9,2,0
7,39.42,5,2,0,0
59,59.28,6,21,0,0
23,47.23,1,26,0,0
50,33.34,5,58,1,1
24,94.98,5,3,0,0
50,65.3,4,57,0,0
14,52.68,7,13,0,0
1,46.18,4,27,1,0
7,55.14,6,15,0,0
12,49.64,5,15,0,0
25,84.22,4,11,0,0
25,209.5,10,7,0,0
33,60.06,5,16,1,0
47,46.2,5,10,2,0
17,51.87,3,2,1,0
59,86.21,3,18,2,0
25,54.39,6,79,0,1
58,46.39,4,9,1,0
23,54.35,9,2,0,0
34,83.35,6,7,0,0
43,31.77,4,0,0,0
6,66.3,7,16,2,0
28,76.63,1,1,0,0
46,49.91,4,7,0,0
44,48.8,4,44,1,0
49,37.1,4,32,0,0
28,43.3,5,62,0,1
14,74.66,2,11,0,0
30,42.9,4,10,0,0
18,37.21,5,65,0,0
40,59.41,8,12,2,0
55,42.14,5,13,0,0
18,54.92,5,5,1,0
55,44.58,5,2,0,0
9,54.69,4,10,0,0
45,65.48,6,3,0,0
52,55.4,4,0,0,0
42,102.4,4,3,0,0
35,93.74,2,21,2,1
58,34.47,2,23,1,0
20,45.55,7,62,1,0
35,39.12,3,53,0,0
54,121.01,4,19,0,0
13,49.81,8,21,0,0
24,44.93,3,8,0,0
35,95.05,6,4,0,0
54,46.87,5,38,2,1
54,160.88,3,10,0,0
38,74.28,7,69,0,0
60,75.36,6,2,0,0
36,22.66,2,1,1,0
51,34.69,6,14,0,0
58,93.14,4,34,1,0
49,50.29,3,50,1,0
47,55.93,4,22,0,0
44,62.21,4,36,0,0
21,59.96,7,156,1,1
13,69.26,4,4,0,0
13,73.79,9,3,0,0
31,51.71,4,23,0,0
1,40.21,8,11,0,0
55,68.58,2,27,0,0
25,49.62,7,25,0,0
55,53.13,5,9,0,0
12,67.09,9,6,1,0
58,82.02,3,12,2,1
26,73.81,7,3,0,0
18,103.65,3,1,0,0
17,54.5,6,34,0,0
52,41.34,5,33,2,0
3,66.98,1,34,0,0
3,50.2,4,13,0,0
45,42.43,3,6,0,0
39,69.75,3,8,2,0
21,30.0,2,4,0,0
23,54.96,4,38,0,0
41,43.74,6,8,1,0
58,38.54,4,15,0,0
59,59.25,7,3,0,0
14,45.34,6,14,1,0
28,45.44,5,8,0,1
21,38.11,4,36,3,1
55,40.48,6,19,2,0
5,51.46,5,3,0,0
60,71.64,7,82,0,0
4,73.58,3,12,2,1
15,26.77,5,45,0,0
15,34.09,6,14,0,0
60,58.43,2,14,0,0
46,49.17,3,3,0,0
25,84.04,6,22,1,0
8,71.35,6,4,1,0
24,34.22,2,9,0,0
33,15.4,1,43,1,0
57,57.49,6,33,0,0
47,51.91,3,5,0,0
55,47.61,2,11,0,0
18,36.37,3,18,0,0
15,60.79,5,58,0,0
37,68.17,3,1,1,0
19,59.88,6,55,0,0
34,43.77,5,9,0,0
37,49.65,3,6,1,0
51,34.49,7,4,1,0
36,34.88,6,27,2,0
8,86.06,4,2,1,0
22,61.53,5,15,0,0
6,55.25,4,4,1,0
53,47.43,6,23,1,0
55,72.8,7,3,0,0
8,111.92,4,11,1,0
55,45.31,7,18,0,0
23,63.63,6,5,0,0
10,33.13,6,1,0,0
19,66.74,4,13,1,0
15,69.31,6,42,1,1
49,42.82,4,6,2,0
24,56.53,3,4,0,0
5,58.66,4,2,1,0
43,93.29,7,14,0,0
35,67.75,10,22,1,0
44,81.88,4,9,0,0
48,66.9,4,28,0,0
51,47.81,3,8,1,0
31,23.8,4,20,1,0
2,91.96,3,23,0,0
21,54.55,7,23,1,0
7,46.38,2,5,0,0
3,98.43,4,32,0,0
33,107.41,5,24,0,0
29,65.5,5,49,0,0
46,73.75,6,15,1,0
23,19.23,7,12,0,0
37,87.95,4,92,0,1
36,32.34,3,2,1,0
48,46.65,5,6,0,0
33,34.02,1,23,1,0
44,45.93,4,14,1,0
22,78.63,3,35,0,0
19,128.06,4,16,0,0
40,31.09,6,2,0,0
33,76.87,7,1,0,0
23,58.87,4,35,0,0
56,80.06,4,53,0,1
20,40.78,7,13,0,0
53,73.68,4,9,1,0
12,42.53,6,17,2,0
58,92.0,4,3,0,0
13,65.11,5,1,0,0
44,125.77,5,17,0,0
22,36.98,1,31,0,0
17,71.86,6,3,0,0
60,39.66,2,78,0,0
25,70.99,7,0,2,0
1,68.49,5,6,0,0
42,58.1,6,81,0,0
33,57.54,6,35,0,0
22,113.97,8,26,0,0
10,63.71,6,4,2,0
2,66.66,4,47,0,0
44,51.66,6,5,1,0
13,79.28,6,2,0,0
27,56.83,2,18,0,0
17,95.92,6,10,0,0
4,55.25,6,19,0,0
50,58.29,4,18,2,0
42,60.89,2,28,1,0
9,30.48,4,10,1,0
52,27.25,4,2,2,0
49,74.22,8,25,0,0
9,39.45,7,6,1,0
20,49.7,6,62,0,0
3,53.42,5,10,0,0
13,55.97,5,3,0,0
38,32.67,4,30,1,1
25,32.95,5,13,0,1
26,49.11,5,4,2,0
48,49.82,2,35,1,1
35,74.31,2,14,1,0
47,51.08,3,25,0,0
51,70.67,6,4,0,0
35,46.45,5,25,0,0
41,91.17,3,9,1,0
11,80.93,3,3,0,0
28,57.47,5,1,0,0
48,29.75,2,61,0,0
44,35.06,5,12,1,0
44,65.65,2,41,1,0
29,68.14,1,13,0,0
29,28.83,2,7,1,0
40,65.61,5,2,0,0
11,67.95,8,73,0,0
59,165.5,5,2,0,0
10,56.35,4,18,1,0
42,75.49,6,10,1,0
6,30.04,2,28,1,0
54,48.63,3,2,0,0
33,42.16,5,4,0,0
45,78.83,4,4,3,0
17,62.08,3,24,1,0
57,41.05,5,7,0,0
38,39.38,5,9,0,0
43,71.24,6,0,0,0
29,98.64,5,25,1,0
16,101.3,4,20,1,0
31,43.32,8,9,0,0
1,56.0,7,60,0,1
48,82.78,6,2,2,0
51,35.34,7,4,2,0
57,83.29,3,5,0,0
9,40.12,3,55,0,1
11,39.89,4,14,0,0
58,38.23,6,13,0,0
55,58.3,3,6,0,0
17,50.77,3,19,0,0
1,65.28,6,8,0,0
11,56.66,3,22,0,0
39,70.17,1,17,0,0
8,58.66,5,44,0,0
51,39.21,4,21,0,0
26,21.56,8,54,0,0
56,43.06,4,6,0,0
51,81.37,7,22,1,0
2,49.17,5,22,0,0
29,94.78,6,15,1,0
22,56.9,2,15,2,0
14,72.34,6,38,0,0
47,78.79,6,39,0,0
23,49.64,6,5,0,0
6,72.82,5,5,2,0
38,50.79,8,2,1,0
43,58.64,3,6,0,0
30,89.2,5,15,0,0
32,44.66,1,0,1,0
57,31.75,8,5,1,0
18,44.31,3,17,0,0
54,35.87,7,16,0,0
27,27.7,4,11,2,0
13,105.72,5,3,0,0
7,63.8,5,17,0,0
31,46.67,7,1,1,0
18,63.63,8,5,1,0
42,65.69,6,1,0,0
14,43.52,5,6,1,0
52,37.2,8,8,1,0
43,35.6,5,1,1,0
31,30.32,3,12,0,0
57,28.61,7,28,0,0
1,115.92,7,31,0,0
50,41.19,5,14,1,0
36,49.72,5,1,0,0
29,68.37,7,9,1,0
51,47.04,2,15,1,0
18,54.95,4,12,0,0
20,33.77,3,12,2,0
13,54.77,7,4,1,0
5,59.4,2,6,0,0
9,29.91,2,5,1,0
50,47.42,3,34,1,0
6,49.73,5,15,0,0
28,65.85,7,22,0,0
48,37.87,4,7,0,0
19,35.89,4,30,0,0
48,114.77,5,53,0,0
5,84.71,6,2,1,0
55,111.01,7,30,0,0
25,79.24,3,12,3,0
51,52.29,3,16,0,0
44,87.12,5,35,1,0
42,51.32,6,65,1,0
44,49.73,6,7,0,0
1,76.39,5,40,1,0
12,61.94,4,2,1,0
31,64.42,5,7,0,0
40,85.67,5,11,1,0
42,47.68,4,113,1,1
34,40.0,4,16,1,0
60,37.38,7,135,0,1
39,57.86,5,4,0,0
8,51.99,7,1,2,0
9,75.44,6,5,0,0
57,61.97,4,18,0,0
40,61.79,2,6,1,0
5,32.33,4,6,0,0
28,79.92,3,1,0,0
28,45.05,3,42,0,0
44,76.97,5,40,0,0
33,58.12,5,2,0,0
56,52.97,7,43,2,0
30,64.64,8,39,2,0
28,64.62,7,30,0,1
25,65.04,5,33,2,1
31,40.16,5,2,0,0
48,43.15,7,10,0,0
49,67.88,3,16,0,0
6,97.18,5,39,0,0
43,43.93,8,18,1,0
40,100.9,4,4,0,0
55,65.81,8,8,2,0
29,61.31,5,9,0,0
13,77.55,6,1,0,0
39,54.69,5,78,0,0
53,37.86,5,23,2,0
23,65.0,3,8,1,0
19,58.76,2,4,0,0
52,39.92,3,12,1,0
34,42.66,5,5,0,0
26,88.77,6,6,0,0
13,40.76,6,5,1,0
14,68.7,7,10,0,0
1,88.49,6,27,0,0
17,78.94,4,25,0,0
21,45.19,3,28,1,1
47,43.89,3,44,0,0
32,43.11,2,11,0,0
17,81.64,6,62,1,0
33,91.99,5,26,1,0
40,70.79,4,64,0,0
5,81.86,3,22,1,0
50,52.84,7,7,2,0
41,73.42,6,2,0,0
20,59.01,4,11,0,0
35,61.07,4,34,0,0
57,68.0,7,20,0,0
35,23.89,4,2,1,0
40,40.52,2,22,0,0
32,63.98,7,13,1,0
55,39.49,5,14,0,0
33,69.83,3,8,1,0
49,96.92,9,9,0,0
4,81.98,7,13,0,0
54,29.15,7,55,2,0
55,43.98,9,17,3,0
56,73.98,5,16,1,0
8,52.25,9,16,0,0
16,93.21,4,12,0,0
59,39.48,6,31,0,0
1,48.6,6,2,1,1
21,54.6,3,2,1,0
3,68.67,2,0,1,0
56,33.96,4,6,1,0
25,86.02,5,23,2,0
23,82.26,5,27,0,0
48,62.6,5,19,1,0
7,33.7,3,55,0,0
19,149.87,2,21,0,0
28,50.75,6,3,0,0
5,27.94,8,15,0,0
22,39.45,7,5,1,0
4,23.89,8,11,0,0
25,34.71,12,3,0,0
46,50.5,5,107,1,1
38,130.81,4,11,0,0
26,33.61,2,18,1,0
